[ INFO ] Sending message (size: 250 bytes)...
[ DEBUG ] Refilling buffer (startSeq: 0, amount: 250)
[ DEBUG ] Last seq in buffer: 249
[ INFO ] Sent packet (seq: 120, data: a, timer: 72358253682000)
[ INFO ] Sent packet (seq: 121, data: l, timer: 72358253682000)
[ INFO ] Sent packet (seq: 122, data: l, timer: 72358253682000)
[ INFO ] Sent packet (seq: 123, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 124, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 125, data: g, timer: 72358253682000)
[ INFO ] Sent packet (seq: 126, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 127, data: p, timer: 72358253682000)
[ INFO ] Sent packet (seq: 128, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 129, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 130, data: j, timer: 72358253682000)
[ INFO ] Sent packet (seq: 131, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 132, data: c, timer: 72358253682000)
[ INFO ] Sent packet (seq: 133, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 134, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 135, data: m, timer: 72358253682000)
[ INFO ] Sent packet (seq: 136, data: a, timer: 72358253682000)
[ INFO ] Sent packet (seq: 137, data: k, timer: 72358253682000)
[ INFO ] Sent packet (seq: 138, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 139, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 140, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 141, data: u, timer: 72358253682000)
[ INFO ] Sent packet (seq: 142, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 143, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 144, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 145, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 146, data: h, timer: 72358253682000)
[ INFO ] Sent packet (seq: 147, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 148, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 149, data: f, timer: 72358253682000)
[ INFO ] Sent packet (seq: 150, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 151, data: l, timer: 72358253682000)
[ INFO ] Sent packet (seq: 152, data: l, timer: 72358253682000)
[ INFO ] Sent packet (seq: 153, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 154, data: w, timer: 72358253682000)
[ INFO ] Sent packet (seq: 155, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 156, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 157, data: g, timer: 72358253682000)
[ INFO ] Sent packet (seq: 158, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 159, data: p, timer: 72358253682000)
[ INFO ] Sent packet (seq: 160, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 161, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 162, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 163, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 164, data: q, timer: 72358253682000)
[ INFO ] Sent packet (seq: 165, data: u, timer: 72358253682000)
[ INFO ] Sent packet (seq: 166, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 167, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 168, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 169, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 170, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 171, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 172, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 173, data: h, timer: 72358253682000)
[ INFO ] Sent packet (seq: 174, data: a, timer: 72358253682000)
[ INFO ] Sent packet (seq: 175, data: v, timer: 72358253682000)
[ INFO ] Sent packet (seq: 176, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 177, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 178, data: b, timer: 72358253682000)
[ INFO ] Sent packet (seq: 179, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 180, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 181, data: n, timer: 72358253682000)
[ INFO ] Sent packet (seq: 182, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 183, data: m, timer: 72358253682000)
[ INFO ] Sent packet (seq: 184, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 185, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 186, data: ., timer: 72358253682000)
[ INFO ] Sent packet (seq: 187, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 188, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 189, data: 2, timer: 72358253682000)
[ INFO ] Sent packet (seq: 190, data: ., timer: 72358253682000)
[ INFO ] Sent packet (seq: 191, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 192, data: [, timer: 72358253682000)
[ INFO ] Sent packet (seq: 193, data: P, timer: 72358253682000)
[ INFO ] Sent packet (seq: 194, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 195, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 196, data: j, timer: 72358253682000)
[ INFO ] Sent packet (seq: 197, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 198, data: c, timer: 72358253682000)
[ INFO ] Sent packet (seq: 199, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 200, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 201, data: T, timer: 72358253682000)
[ INFO ] Sent packet (seq: 202, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 203, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 204, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 205, data: ], timer: 72358253682000)
[ INFO ] Sent packet (seq: 206, data: (, timer: 72358253682000)
[ INFO ] Sent packet (seq: 207, data: #, timer: 72358253682000)
[ INFO ] Sent packet (seq: 208, data: p, timer: 72358253682000)
[ INFO ] Sent packet (seq: 209, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 210, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 211, data: j, timer: 72358253682000)
[ INFO ] Sent packet (seq: 212, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 213, data: c, timer: 72358253682000)
[ INFO ] Sent packet (seq: 214, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 215, data: -, timer: 72358253682000)
[ INFO ] Sent packet (seq: 216, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 217, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 218, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 219, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 220, data: ), timer: 72358253682000)
[ INFO ] Sent packet (seq: 221, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 222, data: 
, timer: 72358253682000)
[ INFO ] Sent packet (seq: 223, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 224, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 225, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 226, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 227, data: D, timer: 72358253682000)
[ INFO ] Sent packet (seq: 228, data: i, timer: 72358253682000)
[ INFO ] Sent packet (seq: 229, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 230, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 231, data: c, timer: 72358253682000)
[ INFO ] Sent packet (seq: 232, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 233, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 234, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 235, data: y, timer: 72358253682000)
[ INFO ] Sent packet (seq: 236, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 237, data: s, timer: 72358253682000)
[ INFO ] Sent packet (seq: 238, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 239, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 240, data: u, timer: 72358253682000)
[ INFO ] Sent packet (seq: 241, data: c, timer: 72358253682000)
[ INFO ] Sent packet (seq: 242, data: t, timer: 72358253682000)
[ INFO ] Sent packet (seq: 243, data: u, timer: 72358253682000)
[ INFO ] Sent packet (seq: 244, data: r, timer: 72358253682000)
[ INFO ] Sent packet (seq: 245, data: e, timer: 72358253682000)
[ INFO ] Sent packet (seq: 246, data:  , timer: 72358253682000)
[ INFO ] Sent packet (seq: 247, data: o, timer: 72358253682000)
[ INFO ] Sent packet (seq: 248, data: f, timer: 72358253682000)
[ INFO ] Sent packet (seq: 249, data:  , timer: 72358253682000)
[ DEBUG ] Listening for ACK...
[ DEBUG ] Updating timeout... (timestamp: 72358463208000)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 0)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 1)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 2)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 3)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 4)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 5)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 6)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 7)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 8)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 9)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 10)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 11)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 12)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 13)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 14)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 15)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 16)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 17)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 18)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 19)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 20)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 21)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 22)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 23)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 24)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 25)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 26)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 27)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 28)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 29)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 30)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 31)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 32)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 33)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 34)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 35)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 36)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 37)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 38)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 39)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 40)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 41)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 42)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 43)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 44)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 45)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 46)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 47)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 48)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 49)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 50)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 51)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 52)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 53)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 54)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 55)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 56)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 57)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 58)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 59)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 60)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 61)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 62)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 63)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 64)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 65)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 66)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 67)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 68)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 69)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 70)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 71)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 72)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 73)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 74)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 75)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 76)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 77)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 78)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 79)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 80)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 81)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 82)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 83)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 84)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 85)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 86)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 87)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 88)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 89)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 90)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 91)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 92)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 93)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 94)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 95)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 96)
[ INFO ] ACK timeout or duplicate ACK, packet resent (seq: 97)
